word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
the,,,,,0,"+) cái, con, người...
+) ấy, này (người, cái, con...)
+) duy nhất (người, vật...)"
with,,,,,0,"+) với, cùng, cùng với
+) có
+) ở, ở ni"
and,,,,,0,"+) và, cùng, với
+) nếu dường như, tuồng như là
+) còn"
which,,,,,0,"+) nào (ngụ ý chọn lựa)
+) bất cứ... nào
+) ấy, đó"
for,,,,,0,"+) thay cho, thế cho, đại diện cho
+) ủng hộ, về phe, về phía
+) để, với mục đích là"
that,,,,,0,"+) ấy, đó, kia
+) người ấy, vật ấy, cái ấy, điều ấy; người đó, vật đó, cái đó, điều đó
+) cái kia, người kia"
this,,,,,0,"+) này
+) cái này, điều này, việc này
+) thế này"
each,"
+) (used of count nouns) every one considered individually","s, r","
+) each person is mortal
+) each party is welcome
+) they received $10 each",each,0,"+) mỗi
+) mỗi người, mỗi vật, mỗi cái
+) tất cả mọi người, ai ai"
your,,,,,0,"+) của anh, của chị, của ngài, của mày; của các anh, của các chị, của các ngài, của chúng mày"
are,"
+) a unit of surface area equal to 100 square meters","n, v","
+) John is rich
+) This is not a good answer
+) The president of the company is John Smith",are,0,"+) A (đơn vị diện tích ruộng đất, bằng 100m2)
+) cung
+) a. of cyloid cung xicloit"
alphabet,"
+) a character set that includes letters and is used to write a language",n,"
+) he mastered only the rudiments of geometry",alphabet,0,"+) bảng chữ cái, hệ thống chữ cái
+) (nghĩa bóng) điều cơ bản, bước đầu
+) (Tech) bộ chữ cái, bộ mẫu tự, bảng chữ; bộ ký tự"
random,"
+) lacking any definite plan or order or purpose; governed by or depending on chance",a,"
+) a random choice
+) bombs fell at random
+) random movements",random,0,"+) at random càn, bậy bạ; ẩu, bừa bâi; to speak at random nói bậy bạ; to shoot at random bắn càn, bắn bừa bãi
+) ẩu, bừa
+) ngẫu nhiên at r. một cách ngẫu nhiên"
binary,"
+) a system of two stars that revolve around each other under their mutual gravitation","n, a, s","
+) the same source code can be compiled to produce different binaries for different operating systems
+) a binary digit
+) a binary star is a system in which two stars revolve around each other",binary_star,0,"+) đôi, nhị nguyên, nhị phân
+) (Tech) đôi; thuộc nhị phân, cơ hai; thuộc nhị nguyên [TQ], thuộc nhị hạng [NB]; lưỡng thể
+) nhị nguyên, hai ngôi"
gambler,"
+) a person who wagers money on the outcome of games or sporting events",n,"
+) ",gambler,0,"+) người đánh bạc, con bạc
+) kẻ đầu cơ; kẻ làm liều, mưu đồ ăn to
+) (lý thuyết trò chơi) người đánh bạc"
has,"
+) (astronomy) the angular distance of a celestial point measured westward along the celestial equator from the zenith crossing; the right ascension for an observer at a particular location and time of day","n, v","
+) She has $1,000 in the bank
+) He has got two beautiful daughters
+) She holds a Master's degree from Harvard",hour_angle,0,"+) có
+) (+ from) nhận được, biết được
+) ăn; uống; hút"
formula,"
+) a group of symbols that make a mathematical statement",n,"
+) the convention of not naming the main character
+) violence is the rule not the exception
+) his formula for impressing visitors",formula,0,"+) thể thức, cách thức
+) công thức
+) (Tech) công thức (chế tạo); phương pháp; giải pháp"
distribution,"
+) (statistics) an arrangement of values of a variable showing their observed or theoretical frequency of occurrence",n,"
+) worldwide in distribution
+) the distribution of nerve fibers
+) in complementary distribution",distribution,0,"+) sự phân bổ, sự phân phối, sự phân phát
+) sự rắc, sự rải
+) sự sắp xếp, sự xếp loại, sự phân loại"
