word,meaning,part_of_speech,examples,phonetic,meaning_vi
concave,curving inward,a,,concave,"
+) lõm, hình lòng chão
+) (Tech) lõm
+) lõm
+) c. down-warrd lõm xuống
+) c. to ward lõm về phải
+) c. up-ward lõm lên"
interval,a definite length of time marked off by two instants,n,,time_interval,"
+) khoảng (thời gian, không gian), khoảng cách
+) lúc nghỉ, lúc ngớt, lúc ngừng
+) (quân sự) khoảng cách, cự ly
+) (âm nhạc) quãng
+) (toán học) khoảng
+) khoảng đoạn // chia thành đoạn
+) i. of convergence (giải tích) khoảng hội tụ
+) central confidence i. khoảng tin cậy trung tâm
+) class i. khoảng nhóm
+) closed i. khoảng đóng
+) confidence i. (thống kê) khoảng tin cậy
+) control i. (điều khiển học) khoảng kiểm tra
+) degenerate i. khoảng suy biến
+) difference i. bước sai phân
+) focal i. khoảng tiêu
+) half open i. khoảng nửa mở
+) nested i. các khoảng lồng nhau
+) non-central confidence i. (thống kê) khoảng tin cậy không tâm
+) open i. khoảng mở
+) predition i. khoảng dự đoán
+) shortest condifidence i. khoảng tin cậy ngắn nhất
+) time i. khoảng thời gian
+) unit i. khoảng đơn vị"
strictly,restricted to something,r,we talked strictly business,strictly,"
+) một cách nghiêm khắc; hoàn toàn
+) ngặt"
said,express in words,v,"He said that he wanted to marry her
tell me what is bothering you
state your opinion",state,"
+) (từ hiếm,nghĩa hiếm) vải chéo
+) lời nói, tiếng nói; dịp nói; quyền ăn nói (quyền tham gia quyết định về một vấn đề)
+) tuyên bố; hứa hẹn; tiên đoán
+) đồn
+) diễn đạt
+) viện ta làm lý lẽ; đưa làm chứng cớ
+) cho ý kiến về, quyết định về
+) lấy, chọn (làm ví dụ)
+) that is to say tức là, nói một cách khác; hay là, ít nhất thì
+) tục nói
+) nói thật, nói hết
+) từ chối
+) đồng ý
+) (xem) nay
+) ra lệnh nói lên ý muốn của mình
+) (xem) go
+) điều anh nói hoàn toàn có căn cứsay /sei/
+) (từ hiếm,nghĩa hiếm) vải chéo
+) lời nói, tiếng nói; dịp nói; quyền ăn nói (quyền tham gia quyết định về một vấn đề)
+) tuyên bố; hứa hẹn; tiên đoán
+) đồn
+) diễn đạt
+) viện ta làm lý lẽ; đưa làm chứng cớ
+) cho ý kiến về, quyết định về
+) lấy, chọn (làm ví dụ)
+) that is to say tức là, nói một cách khác; hay là, ít nhất thì
+) tục nói
+) nói thật, nói hết
+) từ chối
+) đồng ý
+) (xem) nay
+) ra lệnh nói lên ý muốn của mình
+) (xem) go
+) điều anh nói hoàn toàn có căn cứ"
processing,preparing or putting through a prescribed procedure,n,"the processing of newly arrived immigrants
the processing of ore to obtain minerals",processing,"
+) sự chế biến, sự gia công
+) xử lý, gia công
+) date p. (máy tính) xử lý các dữ kiệnProcess
+) (Econ) Quá trình
+) Một sự phối hợp đặc biệt của các đầu vào có thể thay đổi về quy mô để sản xuất các mức cao hơn của đầu ra.process /process/
+) quá trình, sự tiến triển
+) sự tiến hành
+) phương pháp, cách thức (sản xuất, chế biến)
+) (pháp lý) việc tố tụng; trát đòi, lệnh gọi của toà án
+) (sinh vật học) u lồi, bướu (ở cây cối, thân súc vật)
+) (ngành in) phép in ximili (in ảnh), phép in ảnh chấm
+) chế biến gia công (theo một phương pháp)
+) kiện (ai)
+) in ximili (ảnh, tranh)
+) (thông tục) diễu hành, đi thành đoàn, đi thành đám rước
+) quá trình, phương pháp, cách p. with in dependent increments
+) (xác suất) quá trình với gia số độc lập
+) additive p. quá trình cộng t ính
+) adjoint p. quá trình liên hợp
+) approximation p. quá trình xấp xỉ
+) autoregressive p. quá trình tự hồi quy
+) birth p. quá trình toàn sinh
+) bivariate p. quá trình hai chiều
+) branching p. quá trình phân nhánh
+) cascade p. quá trình tầng
+) centred p. quá trình có tâm
+) continuous p. quá trình liên tục
+) crypto-deterministic p. quá rình tất định ngầm
+) cyclic p. quá trình tuần hoàn
+) damped oscillatory p. quá trình dao động tắt dần
+) death p. quá trình chết, quá trình toàn tử
+) degenerete p. quá trình suy biến
+) denumerable p. quá trình đếm được
+) deterministic p. quá trình tất định
+) diagonal p. quá trình chéo
+) diffusion p. quá trình khuyếch tán
+) digital p. quá trình rời rạc
+) discontinuous p. quá trình rời rạc
+) discrete p. quá trình rời rạc
+) dissipative p. quá trình hao tán
+) disturbeb harmonic p. (thống kê) quá trình điều hoà bị nhiễu loạn
+) divergent p. quá trình phân kỳ
+) emigration p. quá trình di dân
+) equally-correlated p. quá trình tương quan cân bằng
+) equilibrium p. quá trình cân bằng
+) ergodic p. quá trình egođic
+) exhaustion p. quá trình vét kiệt
+) explosive p. (xác suất) quá trình bùng nổ (quá trình có các số trung bình tăng
+) vô hạn)
+) finite p. (logic học) (đại số) quá trình hữu hạn
+) hereditary p. (xác suất) quá trình có di truyển
+) homogeneous p. (xác suất) quá trình thuần nhất
+) immigration p. quá trình di cư
+) irreversible p. (vật lí) quá trình không thuận nghịch
+) isentropic p. quá trình đẳng entropi
+) isotropic p. (xác suất) quá trình đẳng hướng
+) iterative p. (điều khiển học) quá trình lặp
+) limit p. quá trình giới hạn
+) logistic p. (thống kê) quá trình lôgictic
+) Markovian p. (xác suất) quá trình Mácôp
+) moving-summation p. quá trình lấy tổng trượt
+) multiplivative p. (xác suất) quá trình phân nhánh
+) orthogonal p. quá trình trực giao
+) periodie p. quá trình tuần hoàn
+) production p. (toán kinh tế) quá trình sản xuất
+) purely random p. (điều khiển học) quá trình thuần tuý ngẫu nhiên
+) random p. quá trình ngẫu nhiên
+) recursive p. quá trình đệ quy
+) repetitive p. (điều khiển học) quá trình lặp
+) reversible p. (điều khiển học) quá trình khả nghịch
+) separable p. quá trình tách được
+) sieving p. phương pháp sàng
+) solving p. quá trình giải
+) stable p. (xác suất) quá trình ổn định
+) stationary p. (xác suất) quá trình dừng
+) stochastic p. (xác suất) quá trình ngẫu nhiên
+) strictly stationary p. (xác suất) quá trình dừng ngặt"
chord,a straight line connecting two points on a curve,n,,chord,"
+) (thơ ca) dây (đàn hạc)
+) (toán học) dây cung
+) (giải phẫu) dây, thừng
+) đánh đúng vào tình cảm của ai
+) gãi đúng vào chỗ ngứa; chạm đúng nọc
+) (âm nhạc) hợp âm
+) (hội họa) sự điều hợp (màu sắc)
+) dây cung, dây trương
+) c. of contact dãy tiếp xúc
+) bifocal c. of a quadric dây song tiêu của một quadric
+) focal c. dây tiêu
+) upplemental c.s dây cung bù"
sufficient,of a quantity that can fulfill a need or requirement but without being abundant,a,sufficient food,sufficient,"
+) đủ
+) (từ cổ,nghĩa cổ) có khả năng; có thẩm quyền
+) số lượng đủ
+) đủ"
derivative,the result of mathematical differentiation; the instantaneous change of one quantity relative to another; df(x)/dx,n,,derived_function,"
+) bắt nguồn từ
+) (hoá học) dẫn xuất
+) (ngôn ngữ học) phái sinh
+) (hoá học) chất dẫn xuất
+) (ngôn ngữ học) từ phát sinh
+) (toán học) đạo hàm
+) (Tech) đạo hàm; phó sản
+) đạo hàm
+) d. from parametric equation dẫn suất từ các phương trình tham số
+) d. on the left (right) đạo hàm bên trái (bên phải)
+) d. of a group các dẫn suất của một nhóm
+) d. s of higher order đạo hàm cấp cao
+) d. of a vectơ đạo hàm của một vectơ
+) absolute d. đạo hàm tuyệt đối
+) approximate d. gt đạo hàm xấp xỉ
+) areolar d. đạo hàm diện tích
+) backward d. (giải tích) đạo hàm bên phải
+) covariant d. đạo hàm hiệp biến
+) directional d. đạo hàm theo hướng
+) forward d. đạo hàm bên phải
+) fractional d. (giải tích) đạo hàm cấp phân số
+) generalizer d. đạo hàm suy rộng
+) hight d. (giải tích) đạo hàm cấp cao
+) left d. đạo hàm bên trái
+) logarithmic d. (giải tích) đạo hàm lôga
+) maximum directional d. đạo hàm hướng cực đại
+) normal d. đạo hàm pháp tuyến
+) parrmetric d. đạo hàm tham số
+) partial d. đạo hàm riêng
+) particle d. đạo hàm toàn phần
+) right-hand d. đạo hàm bên phải
+) succes ive d.s các đạo hàm liên tiếp
+) total d. đạo hàm toàn phần"
pif,,,,,"
+) tệp thông tin chương trình trong Windows"
convexity,the property possessed by a convex shape,n,,convexity,"
+) tính lồi
+) độ lồi
+) (Tech) tính lồi; bề lồi
+) tính lồi; bề lồi
+) modified c. (giải tích) bề lồi đã đổi dạng
+) stric c. (giải tích) tính lồi ngặt"
