word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
margin,"
+) the boundary line or the area immediately inside the boundary",n,"
+) the margin of victory
+) he jotted a note in the margin",margin,0,"+) mép, bờ, lề
+) số dư, số dự trữ
+) giới hạn"
polynomial,"
+) a mathematical function that is the sum of a number of terms","a, n","
+) a polynomial expression",polynomial,0,"+) đa thức
+) đa thức
+) p. of degree n. đa thức bậc n"
furthermore,"
+) in addition",r,"
+) computer chess games are getting cheaper all the time; furthermore, their quality is improving
+) the cellar was dark; moreover, mice nested there
+) what is more, there's no sign of a change",furthermore,0,"+) hơn nữa, vả lại
+) ngoài ra"
kernel,"
+) the inner and usually edible part of a seed or grain or nut or fruit stone",n,"
+) black walnut kernels are difficult to get out of the shell
+) a kernel of corn
+) the gist of the prosecutor's argument",kernel,0,"+) (thực vật học) nhân (trong quả hạch)
+) hạt (lúa mì)
+) (nghĩa bóng) bộ phận nòng cốt, bộ phận chủ yếu"
separable,"
+) capable of being divided or dissociated",s,"
+) often drugs and crime are not dissociable
+) the siamese twins were not considered separable
+) a song...never conceived of as severable from the melody",dissociable,0,"+) có thể tách ra, có thể phân ra
+) tách được
+) completely s. (tô pô) hoàn toàn tách được"
linearly,"
+) in a linear manner",r,"
+) linearly polarized radiation
+) it grew linearly",linearly,0,+) (một cách) tuyến tính
hyperplane,,,,,0,"+) siêu phẳng
+) h. of support siêu phẳng tựa
+) tangent h. siêu phẳng tiếp xúc"
does,"
+) the federal department responsible for maintaining a national energy policy of the United States; created in 1977","v, n","
+) make love, not war
+) make an effort
+) do research",Department_of_Energy,0,"+) làm, thực hiệndo /du:, du/
+) làm, thực hiện
+) làm, làm cho, gây cho"
decrease,"
+) a change downward","v, n","
+) there was a decrease in his temperature as the fever subsided
+) there was a sharp drop-off in sales
+) The amount of homework decreased towards the end of the semester",decrease,0,"+) sự giảm đi, sự giảm sút
+) sắc lệnh, sắc luật; chiếu chỉ (của vua)
+) (pháp lý) bản án (của toà án)"
same,"
+) a member of an indigenous nomadic people living in northern Scandinavia and herding reindeer","s, a, n","
+) the same man I saw yesterday
+) never wore the same dress twice
+) this road is the same one we were on yesterday",Lapp,0,"+) đều đều, đơn điệu
+) ((thường) + the) giống nhau, như nhau, không thay đổi, cùng một, cũng như vậy, cũng như thế
+) (từ hiếm,nghĩa hiếm) lại người ấy, cũng vẫn người ấy"
bias,"
+) a partiality that prevents objective consideration of an issue or situation","s, v, n","
+) you are biasing my choice by telling me yours
+) a bias fold",bias,0,"+) độ xiên, dốc, nghiêng
+) đường chéo
+) (nghĩa bóng) khuynh hướng, sự thiên về; thành kiến"
boundary,"
+) the line or plane indicating the limit or extent of something",n,"
+) what he did was beyond the bounds of acceptable behavior
+) to the limit of his ability",boundary,0,"+) đường biên giới, ranh giới
+) (Tech) giới hạn, biên giới
+) biên, biên giới, giới hạn"
