word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
sunny,"
+) bright and pleasant; promoting a feeling of cheer",s,"
+) a cheery hello
+) a gay sunny room
+) a sunny smile",cheery,0,"+) nắng, có nhiều ánh nắng
+) vui vẻ, hớn hở, tươi sáng
+) chưa đến 40 (50...) tuổi"
rainy,"
+) (of weather) wet by periods of rain",s,"
+) showery weather
+) rainy days",showery,0,+) có mưa; có nhiều mưa; hay mưa
badminton,"
+) a game played on a court with light long-handled rackets used to volley a shuttlecock over a net",n,"
+) ",badminton,0,"+) (thể dục,thể thao) cầu lông
+) rượu vang đỏ pha đường và xô đa"
overcast,"
+) the state of the sky when it is covered by clouds","v, n, s","
+) Fall weather often overcasts our beaches
+) overcast books",cloudiness,0,"+) làm u ám, phủ mây (bầu trời)
+) vắt sổ (khâu)
+) quăng (lưới đánh cá, dây câu) quá xa['ouvəkɑ:st]"
they,,,,,0,"+) chúng nó, chúng, họ
+) người ta"
their,,,,,0,"+) của chúng, của chúng nó, của họ"
outlook,"
+) a habitual or characteristic mental attitude that determines how you will interpret and respond to situations",n,"
+) ",mentality,0,"+) quang cảnh, viễn cảnh
+) cách nhìn, quan điểm
+) triển vọng, kết quả có thể đưa đến"
humidity,"
+) wetness in the atmosphere",n,"
+) ",humidity,0,"+) sự ẩm ướt
+) độ ẩm"
will,"
+) the capability of conscious choice and decision and intention; - George Meredith","v, n","
+) the exercise of their volition we construe as revolt
+) where there's a will there's a way
+) God wills our existence",volition,0,"+) ý chí, chí, ý định, lòng
+) sự hăng say; sự quyết chí, sự quyết tâm
+) nguyện vọng, ý muốn; ý thích"
vector,"
+) a variable quantity that can be resolved into components",n,"
+) mosquitos are vectors of malaria and yellow fever
+) fleas are vectors of the plague
+) aphids are transmitters of plant diseases",vector,0,"+) (toán học) vectơ
+) (y học) vật chủ trung gian,  vectơ
+) lái (máy bay) đến (một nơi nào đó)"
naive,"
+) marked by or showing unaffected simplicity and lack of guile or worldly experience","a, s","
+) a teenager's naive ignorance of life
+) the naive assumption that things can only get better
+) this naive simple creature with wide friendly eyes so eager to believe appearances",naive,0,"+) ngây thơ, chất phác
+) ngờ nghệch, khờ khạo"
other,"
+) not the same one or ones already mentioned or implied; - the White Queen","a, s","
+) today isn't any other day
+) the construction of highways and other public works
+) he asked for other employment",other,0,"+) khác
+) kia
+) (xem) every"
own,"
+) have ownership or possession of","v, s","
+) He owns three houses in Florida
+) How many cars does she have?
+) for your own use",own,0,"+) của chính mình, của riêng mình
+) độc lập cho bản thân mình; tự mình chịu trách nhiệm; với phương tiện của bản thân mình
+) (xem) man"
all,"
+) quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class","a, s, r","
+) we sat up all night
+) ate all the food
+) all men are mortal",all,0,"+) tất cả, hết thảy, toàn bộ, suốt trọn, mọi
+) tất cả, tất thảy, hết thảy, toàn thể, toàn bộ
+) (xem) above"
but,"
+) and nothing more",r,"
+) I was merely asking
+) it is simply a matter of time
+) just a scratch",merely,0,"+) nhưng, nhưng mà
+) nếu không; không còn cách nào khác
+) mà lại không"
should,,,,,0,"+) (trợ động từ dùng để hình thành thời tương lai trong thời quá khứ ở ngôi 1 số ít &amp;amp; số nhiều)
+) (trợ động từ dùng để hình thành lối điều kiện ở ngôi 1 số ít &amp;amp; số nhiều)
+) (trợ động từ dùng để hình thành lối lời cầu khẩn)"
from,,,,,0,"+) từ
+) dựa vào, theo, do từ, xuất phát từ
+) khỏi, đừng; tách khỏi, rời xa, cách"
these,,,,,0,"+) này
+) cái này, điều này, việc này
+) thế này"
under,"
+) located below or beneath something else","s, r","
+) nether garments
+) the under parts of a machine
+) an under secretary",nether,0,"+) dưới, ở dưới
+) dưới, chưa đầy, chưa đến
+) dưới (sự lãnh đạo, quyền...)"
