word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
generative,"
+) having the ability to produce or originate","a, s","
+) generative power
+) generative forces
+) the reproductive potential of a species is its relative capacity to reproduce itself under optimal conditions",generative,0,"+) có khả năng sinh ra, sinh ra"
max,"
+) street names for gamma hydroxybutyrate",n,"
+) ",soap,0,+) (viết tắt) tối đa
classifier,"
+) a person who creates classifications",n,"
+) ",classifier,0,+) người phân loại
disease,"
+) an impairment of health or a condition of abnormal functioning",n,"
+) ",disease,0,"+) bệnh, bệnh tật
+) (nghĩa bóng) tệ nạn; sự hủ bại (xã hội...)"
posterior,"
+) the fleshy part of the human body that you sit on","a, n, s","
+) he deserves a good kick in the butt
+) are you going to sit on your fanny and do nothing?
+) without ulterior argument",buttocks,0,"+) sau (về thời gian và thứ tự), ở sau, đến sau
+) mông đít
+) sau, hậu nghiệm"
discriminative,"
+) capable of making fine distinctions",s,"
+) discriminative censure
+) a biography ...appreciative and yet judicial in purpose",discriminative,0,"+) rõ ràng, tách bạch
+) biết phân biệt, có óc phán đoán, biết suy xét, sáng suốt"
prior,"
+) the head of a religious order; in an abbey the prior is next below the abbot","n, s","
+) ",prior,0,"+) trưởng tu viện
+) trước
+) prior to trước khi"
theorem,"
+) a proposition deducible from basic postulates",n,"
+) ",theorem,0,"+) (toán học) định lý
+) định lý
+) t. of mear định lý giá trị trung bình"
categorization,"
+) a group of people or things arranged by class or category",n,"
+) ",classification,0,+) xem categorize
comp,"
+) an intensive examination testing a student's proficiency in some special field of knowledge",n,"
+) she took her comps in English literature",comprehensive_examination,0,+) (thông tục) (như) compositor
assumption,"
+) a statement that is assumed to be true and from which a conclusion can be drawn",n,"
+) on the assumption that he has been injured we can infer that he will not to play
+) any society is built upon certain assumptions
+) his assumption of office coincided with the trouble in Cuba",premise,0,"+) sự mang, sự khoác, sự lấy (cái vẻ, tính chất...)
+) sự làm ra vẻ, sự giả bộ
+) sự mệnh danh (là đúng), sự cho rằng (là đúng), sự thừa nhận"
classify,"
+) arrange or order by classes or categories",v,"
+) How would you classify these pottery shards--are they prehistoric?
+) Classify these documents
+) How should algae be classified?",classify,0,"+) phân loại
+) (Tech) phân loại, phân hạng, phân cấp
+) phân loại, phân lớp, phân hạng"
recap,"
+) a summary at the end that repeats the substance of a longer discussion","v, n","
+) Let's recapitulate the main ideas",recapitulation,0,"+) (thông tục),  (như) recapitulate
+) lắp nắp mới, lắp thiết bị bảo vệ mới"
independence,"
+) freedom from control or influence of another or others",n,"
+) they maintained close relations with England even after independence",independence,0,"+) sự độc lập; nền độc lập ((cũng) independency)
+) [tính, sự] độc lập i. in behaviour (điều khiển học) tính độc lập về dáng
+) điệu; i. in variety (điều khiển học) tính độc lập về loại"
rec,,,,,0,"+) sân chơi (recreation ground)
+) viết tắt
+) sân chơi (recreation ground)"
gradient,"
+) a graded change in the magnitude of some physical quantity or dimension",n,"
+) a five-degree gradient",gradient,0,"+) dốc, đường dốc; độ dốc
+) (vật lý) Graddien
+) (Tech) thang độ; độ nghiêng, mặt dốc; graddiên"
